Word,Specificity Score
amtaj,2.0
anlais,2.0
atletismo,2.0
aàl,2.0
brésilio-italien,2.0
calgary,2.0
cmgrand,2.0
complewx,2.0
edivis,2.0
ettom,2.0
femmes-soldat,2.0
franco-arménien,2.0
franco-ghanéen,2.0
germano-portug,2.0
handi-sport,2.0
impops,2.0
inter-styl,2.0
jacqu,2.0
jöring,2.0
minibik,2.0
mondewrc,2.0
non-scandinav,2.0
nonagénair,2.0
rhinois,2.0
sharp,2.0
smart,2.0
triathl,2.0
triomphateur,2.0
tudo,2.0
vénézuélio-espagnol,2.0
zip,2.0
zàn,2.0
エンセン井上,2.0
初見良昭,2.0
少林流,2.0
이보람,2.0
argoulet,1.9642857142857142
auvergn,1.9642857142857142
brabaçon,1.9642857142857142
chamoionnat,1.9642857142857142
champional,1.9642857142857142
codiffu,1.9642857142857142
compte-tour,1.9642857142857142
divsion,1.9642857142857142
eliminator,1.9642857142857142
euro-indoor,1.9642857142857142
grand-est,1.9642857142857142
hawksangersroll,1.9642857142857142
impopular,1.9642857142857142
irlando-américano-britannico-allemand,1.9642857142857142
jiu,1.9642857142857142
multi-niveau,1.9642857142857142
non-alpin,1.9642857142857142
non-finland,1.9642857142857142
pangainoon,1.9642857142857142
polymultipli,1.9642857142857142
quevillais,1.9642857142857142
rattrappent,1.9642857142857142
results-book,1.9642857142857142
roubaisien,1.9642857142857142
ré-édit,1.9642857142857142
shakuhach,1.9642857142857142
sport-olympic,1.9642857142857142
squaw,1.9642857142857142
stip,1.9642857142857142
sudist,1.9642857142857142
sykling,1.9642857142857142
tchadien,1.9642857142857142
tekken,1.9642857142857142
vert-blanc-roug,1.9642857142857142
wvcycling,1.9642857142857142
国际武术联合会,1.9642857142857142
国際武道院・国際武道連盟,1.9642857142857142
技あり,1.9642857142857142
藤田和之,1.9642857142857142
aperçoit,1.9583333333333333
barqui,1.9583333333333333
berjalien,1.9583333333333333
devenc,1.9583333333333333
door,1.9583333333333333
en+fr+sh,1.9583333333333333
germano-polon,1.9583333333333333
inter-quarti,1.9583333333333333
labo,1.9583333333333333
osrtant,1.9583333333333333
radioroman,1.9583333333333333
sambodrom,1.9583333333333333
sen-no-sen,1.9583333333333333
streetwear,1.9583333333333333
venezuélien,1.9583333333333333
suisso-croat,1.95
éauip,1.95
文化庁,1.95
franco-serb,1.9375
ousbek,1.9375
segui,1.9375
vendémianais,1.9375
国民体育大会,1.9375
athlètes-étudi,1.9285714285714286
aumôniers-directeur,1.9285714285714286
australiasien,1.9285714285714286
belgo-hollandais,1.9285714285714286
belles-lettr,1.9285714285714286
brigd,1.9285714285714286
cmet,1.9285714285714286
cyclocross,1.9285714285714286
demi-manch,1.9285714285714286
eng,1.9285714285714286
footytip,1.9285714285714286
franco-amazonien,1.9285714285714286
gail,1.9285714285714286
germano-tunisien,1.9285714285714286
génréral,1.9285714285714286
général-major,1.9285714285714286
hochey,1.9285714285714286
inter-district,1.9285714285714286
inter-vill,1.9285714285714286
jacobus,1.9285714285714286
jambe-raquet,1.9285714285714286
kazakhstanais,1.9285714285714286
laeuroligu,1.9285714285714286
lre,1.9285714285714286
multichamp,1.9285714285714286
partiqu,1.9285714285714286
poids-leg,1.9285714285714286
point-to-point,1.9285714285714286
portugo-bissau-guinéen,1.9285714285714286
postscolair,1.9285714285714286
pré-national,1.9285714285714286
psaworld,1.9285714285714286
saint-lou,1.9285714285714286
seido,1.9285714285714286
seidokaikan,1.9285714285714286
sit-in,1.9285714285714286
viennent-ensuit,1.9285714285714286
échag,1.9285714285714286
équipesains,1.9285714285714286
ヨネックス株式会社,1.9285714285714286
大塚博紀,1.9285714285714286
文部科学省,1.9285714285714286
日本相撲協会,1.9285714285714286
照ノ富士,1.9285714285714286
최무배,1.9285714285714286
grenadien,1.925
intrégral,1.925
askary,1.9166666666666667
aurillacois,1.9166666666666667
carrossag,1.9166666666666667
complexity,1.9166666666666667
etjean-ren,1.9166666666666667
ex-ead,1.9166666666666667
masseur,1.9166666666666667
or-argent,1.9166666666666667
ré-alloc,1.9166666666666667
réatribu,1.9166666666666667
steeple-ch,1.9166666666666667
ultra-rapid,1.9166666666666667
верховая,1.9166666666666667
britanno-américain,1.8977272727272727
ex-détenteur,1.8958333333333333
ffc,1.8958333333333333
world-leading,1.8958333333333333
anglais-franc,1.8928571428571428
apprenti-bouch,1.8928571428571428
attrendr,1.8928571428571428
chasseurs-bombardi,1.8928571428571428
cholon,1.8928571428571428
cpu,1.8928571428571428
cyclo-marcheur,1.8928571428571428
domminent,1.8928571428571428
ex-international,1.8928571428571428
ex-nasn,1.8928571428571428
faces-à-fac,1.8928571428571428
footvolley,1.8928571428571428
franco-russ,1.8928571428571428
inning,1.8928571428571428
interconnexion,1.8928571428571428
ira,1.8928571428571428
liess,1.8928571428571428
ligur,1.8928571428571428
listed,1.8928571428571428
maître-ouvri,1.8928571428571428
mortais,1.8928571428571428
moto-concept,1.8928571428571428
nigérien,1.8928571428571428
non-clos,1.8928571428571428
non-consanguin,1.8928571428571428
north-star,1.8928571428571428
overdos,1.8928571428571428
pallaio,1.8928571428571428
participaint,1.8928571428571428
printani,1.8928571428571428
pro-tour,1.8928571428571428
pré-débourrag,1.8928571428571428
périclit,1.8928571428571428
quasi-inexist,1.8928571428571428
quebecois,1.8928571428571428
re-compos,1.8928571428571428
rempot,1.8928571428571428
rentransmettr,1.8928571428571428
senbon-gir,1.8928571428571428
spid,1.8928571428571428
terminn,1.8928571428571428
