Word,Specificity Score
acteurs-cl,2.0
autoplac,2.0
bersagli,2.0
confondu,2.0
etruck,2.0
gtc,2.0
historic-racing,2.0
inadhérent,2.0
interpénetr,2.0
jaonnais,2.0
lesoir,2.0
merlin,2.0
miles-d,2.0
mondewrc,2.0
napolitain,2.0
optionnent,2.0
pariculi,2.0
plomb-gel,2.0
pré-lanc,2.0
quarante-et-uniem,2.0
quatre-vitess,2.0
re-circul,2.0
redéfinit,2.0
société-mer,2.0
supplémentaires,2.0
surcompress,2.0
スズライト,2.0
administratr,1.9642857142857142
allait,1.9642857142857142
ambulatoir,1.9642857142857142
etv,1.9642857142857142
ex-gamm,1.9642857142857142
free-lanc,1.9642857142857142
gracieux,1.9642857142857142
inspired,1.9642857142857142
logu,1.9642857142857142
millionniem,1.9642857142857142
moyenne-haut,1.9642857142857142
non-recevoir,1.9642857142857142
paîtr,1.9642857142857142
prévisualis,1.9642857142857142
technologiemultiair,1.9642857142857142
transveral,1.9642857142857142
world-car,1.9642857142857142
zaïr,1.9642857142857142
chamad,1.9583333333333333
en+it,1.9583333333333333
sdrivei,1.9583333333333333
ameliorat,1.9285714285714286
bi-fuel,1.9285714285714286
bodystyl,1.9285714285714286
co-inventeur,1.9285714285714286
concepteur-pilot,1.9285714285714286
designersberton,1.9285714285714286
dégat,1.9285714285714286
ete,1.9285714285714286
franco-espagnol,1.9285714285714286
inculqu,1.9285714285714286
iv,1.9285714285714286
lka,1.9285714285714286
mylord,1.9285714285714286
non-agricol,1.9285714285714286
performeur,1.9285714285714286
phagocyt,1.9285714285714286
pphpd,1.9285714285714286
pré-sélection,1.9285714285714286
re-fond,1.9285714285714286
redévelopp,1.9285714285714286
researcher,1.9285714285714286
saabist,1.9285714285714286
semi-allong,1.9285714285714286
semi-auto,1.9285714285714286
semi-compétit,1.9285714285714286
semi-ponton,1.9285714285714286
simple-corp,1.9285714285714286
straight,1.9285714285714286
suprex-turbo,1.9285714285714286
technico,1.9285714285714286
ukcar,1.9285714285714286
windstop,1.9285714285714286
zibar,1.9285714285714286
京商株式会社,1.9285714285714286
绅宝d,1.9285714285714286
défiscalis,1.9166666666666667
ultra-exclus,1.9166666666666667
villes-étap,1.9166666666666667
affèrent,1.9125
es+en,1.9
hollandais-américain,1.8958333333333333
lithium-ion-polymer,1.8958333333333333
sdl,1.8958333333333333
alliang,1.8928571428571428
alpina-arch,1.8928571428571428
belliger,1.8928571428571428
benzin,1.8928571428571428
bibl,1.8928571428571428
developpent,1.8928571428571428
déchrom,1.8928571428571428
découplag,1.8928571428571428
frisson,1.8928571428571428
inéligibl,1.8928571428571428
microvan,1.8928571428571428
méditerran,1.8928571428571428
