word	C	count	sigma_nor
studio	499.383022139	3172	9.84315164337
immobilier-class	442.940919205	797	16.5532230688
hypothequ	413.30623531	2203	9.77351092926
immeubl	290.144441186	4178	5.47918640072
film	286.079337	4180	5.41537234827
appart	242.445527332	2461	5.87066775652
immobili	232.021798354	3147	5.1246353098
commun	219.887140185	10868	3.10719341963
impôt	217.666004681	2978	4.97715651738
épisod	216.452097062	2876	5.02414669015
habit	215.838446708	7744	3.44954890794
taxe-fonci	213.586265924	1081	7.45190793573
locat	207.389023115	2445	5.17983446687
ville-belg	206.719446589	221	14.5429131809
château	200.770690426	3184	4.54832140511
saison	186.343128761	2476	4.73215324295
banqu	185.392420636	3543	4.10680470227
roi	173.435723731	3786	3.81197435416
gratte-ciel	167.286683958	609	7.70307436303
displaystyl	164.147197503	611	7.56666248457
bail	163.672107169	1549	5.13748449127
vélo	162.682751499	875	6.45439679454
vill	161.624473731	7403	2.87590049045
non-bât	159.88681808	666	7.13121563628
patrimoin	158.144115169	3225	3.77712054716
résident	155.336982082	3229	3.72613480693
vosg	155.217423393	560	7.48029556058
étag	151.59349833	2060	4.32660653463
monuments-histor	149.489399853	1115	5.44670743306
églis	141.765050568	2516	3.81665205719
regroupe-l	140.083210157	268	9.36533301948
pal	136.95847066	1921	4.11145242872
popul	136.715243505	4330	3.07315413916
fiscal	135.255430933	2480	3.70661010959
américain	134.919963369	4197	3.07797091569
log	134.333016368	3318	3.32576936198
légales-d	133.56147774	776	5.75054082259
revenu	130.909585673	2832	3.45232028507
cred	128.029371834	2000	3.85093458789
tau	127.260063608	2695	3.44345941296
loi	127.230365825	5716	2.67993848055
taux	127.176869724	2692	3.44321452825
abbay	125.421868929	1128	4.70926540356
bât	124.581023297	4146	2.93042887367
monétair	123.726022685	873	5.15253422779
créanci	119.807769635	897	4.96757045698
créanc	119.141332838	715	5.41156408176
seigneur	118.64275021	1583	3.96681396348
contrat	118.281899255	2539	3.33937267209
fonci	117.368704911	1519	3.99559732373
album	116.48931725	785	5.1196198154
comt	115.902831622	2370	3.37214758773
constitué-ains	114.822917834	222	8.50325599856
villag	114.299600543	2398	3.32571117358
diffusion-rmn	114.295349934	196	8.92524658106
do-sul	114.177160944	123	10.8528930116
garant	113.105959203	2199	3.4026449685
tax	108.368391753	2174	3.31509053764
décor	108.0927348	1582	3.70375990447
service-régional	107.923810633	200	8.41152409429
chanson	107.661873179	749	4.89626670087
monnai	107.544478874	1498	3.76377133486
sall	105.786434164	2109	3.29424490483
économ	105.270580351	5401	2.42977536469
fiscalité-suiv	104.81186792	250	7.47006409863
chapel	104.712431205	1049	4.20968698743
président	103.670342766	3939	2.64785246764
