Word,Specificity Score
rempli,1.0
couverts,1.0
polycliniques,1.0
optimale,1.0
abritent,1.0
parties,1.0
régionales,1.0
μg,1.0
éclats,1.0
belles,1.0
indigents,1.0
adjointe,1.0
vitale,1.0
installé,1.0
taxes,1.0
entravent,1.0
cm,1.0
inférieure,1.0
fondant,1.0
minière,1.0
énergies,1.0
techniques,1.0
accompagnent,1.0
voici,1.0
repose,1.0
huit,1.0
étudie,1.0
orphelins,1.0
mené,1.0
incite,1.0
adénopathies,1.0
dispensés,1.0
testés,1.0
entraînent,1.0
embarque,1.0
étendant,1.0
implanté,1.0
lavé,1.0
arrivent,1.0
portent,1.0
assurée,1.0
interrogés,1.0
ovarienne,1.0
éditions,1.0
usages,1.0
améliorations,1.0
ultrasons,1.0
domaines,1.0
académiques,1.0
abattoirs,1.0
indienne,1.0
utilisait,1.0
entrainant,1.0
prône,1.0
apparut,1.0
isolats,1.0
existaient,1.0
dix-neuf,1.0
exposés,1.0
abonnement,1.0
assujettis,1.0
grossissement,1.0
épidémiologistes,1.0
industries,1.0
ongles,1.0
trente,1.0
induisant,1.0
ouvrit,1.0
ambulances,1.0
cependant,1.0
conventionnés,1.0
alcooliques,1.0
africains,1.0
oxydes,1.0
assurent,1.0
poursuivant,1.0
seule,1.0
joint,1.0
recommandant,1.0
revenus,1.0
thèmes,1.0
complémentaires,1.0
humorale,1.0
laissées,1.0
directeurs,1.0
reconnaît,1.0
hypothèses,1.0
norvégienne,1.0
antalgiques,1.0
ambulanciers,1.0
perfectionnement,1.0
affirmant,1.0
rétablissement,1.0
représenté,1.0
exprimée,1.0
unions,1.0
hémopathies,1.0
essences,1.0
rien,1.0
vraiment,1.0
précise,1.0
augmenterait,1.0
géante,1.0
âmes,1.0
prochaine,1.0
déménagement,0.9848484848484849
allergiques,0.9777777777777777
atteignant,0.9777777777777777
triplé,0.9777777777777777
orientent,0.9777777777777777
fondée,0.9722222222222222
chaud,0.9722222222222222
identifient,0.9722222222222222
inspira,0.9722222222222222
intègrent,0.9642857142857143
enjeux,0.9642857142857143
attributions,0.9642857142857143
échelles,0.9642857142857143
aspects,0.9642857142857143
équipé,0.9642857142857143
investisseurs,0.9642857142857143
gingivale,0.9642857142857143
aliénés,0.9642857142857143
impliquent,0.9642857142857143
médicale,0.9642857142857143
avertit,0.9642857142857143
ouvriers,0.9642857142857143
contracte,0.9642857142857143
vieille,0.9642857142857143
littéralement,0.9642857142857143
filières,0.9642857142857143
excellentes,0.9642857142857143
positionnement,0.9642857142857143
humaine,0.9642857142857143
évènement,0.9555555555555556
explications,0.9555555555555556
revendiquant,0.9555555555555556
excellente,0.9555555555555556
inocule,0.9555555555555556
utero,0.9555555555555556
stimulée,0.9555555555555556
supérieures,0.9523809523809523
positive,0.9523809523809523
coule,0.9523809523809523
indices,0.9523809523809523
injectant,0.9523809523809523
assistants,0.9523809523809523
obstacles,0.9523809523809523
versée,0.9523809523809523
pardon,0.9523809523809523
accroissement,0.9523809523809523
arriva,0.9523809523809523
hormis,0.9523809523809523
copies,0.9523809523809523
angines,0.9523809523809523
effluents,0.9523809523809523
auparavant,0.9523809523809523
met,0.9487179487179487
expose,0.9444444444444444
entièrement,0.9444444444444444
excroissances,0.9444444444444444
attachés,0.9444444444444444
médico-militaire,0.9415204678362573
hormones,0.9380952380952381
chargé,0.9333333333333333
complications,0.9333333333333333
ingrédients,0.9333333333333333
insistant,0.9333333333333333
inefficaces,0.9333333333333333
apparitions,0.9333333333333333
amputations,0.9333333333333333
étroits,0.9333333333333333
phénotypes,0.9333333333333333
terrains,0.9333333333333333
approches,0.9333333333333333
hépatocytes,0.9333333333333333
principalement,0.9333333333333333
dénombrement,0.9333333333333333
secrète,0.9333333333333333
végétaux,0.9333333333333333
adeptes,0.9333333333333333
basée,0.9333333333333333
début,0.9333333333333333
santé-environnement,0.9333333333333333
estimé,0.9333333333333333
médico-pharmaceutiques,0.9333333333333333
hémocultures,0.9333333333333333
disciplines,0.9333333333333333
cotisations,0.9333333333333333
suspectée,0.9333333333333333
exigent,0.9333333333333333
anti-inflammatoires,0.9333333333333333
exclusions,0.9333333333333333
adjuvants,0.9333333333333333
